brewery,name,color,style,alcohol_level,ibu_level,beer_country,beer_description,tag_list,photo,photo_path
Abbaye de Scourmont - Chimay,Chimay Triple,Blonde,Triple,"8,00%",39,Belgique,"La Chimay Triple présente une attirante robe dorée majestueusement couronnée d'une imposante mousse blanche. Son parfum révèle immédiatement la complexité impétueuse de cette bière. Son caractère fruité prononcé est parfaitement complété par des impressions florales et par d'élégantes nuances d'épices, conférées par la levure au caractère bien marqué. Un arôme fumé subtil et un soupçon de vanille assurent ensuite un agréable contraste avec la douceur du malt. La saveur est à l'avenant, avec une bouche veloutée parfaitement contrebalancée par juste ce qu'il faut de l'amertume du houblon. Le zeste d'orange et la pomme rouge offrent une fin de bouche raffinée.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",chimay-triple.webp,chimay-triple
Brasserie d'Achouffe,Chouffe Soleil,Blonde,Pale Ale,"6,00%",20,Belgique,"Délicate, fruitée, rafraîchissante… Chouffe Soleil vous promet des moments radieux tout au long de la belle saison. Fabriquée à base d’un mélange d’orge malté, de blé et de seigle, Chouffe Soleil révèle un arôme doux de fleurs de sureau et de camomille. De délicieuses saveurs d’agrumes – mandarine et citron vert – , rehaussées d’une touche de vanille et de notes poivrées, viennent titiller nos papilles. A la fois lumineuse et légèrement trouble, Chouffe Soleil se déguste tout au long de l'année. Elle vous promet un beau moment de convivialité !","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",chouffe-soleil.webp,chouffe-soleil
Brasserie d'Achouffe,La Chouffe,Blonde,Pale Ale,"8,00%",20,Belgique,"La Chouffe révèle en bouche des notes d’agrumes, suivies d’une touche rafraîchissante, agréablement épicée, lui conférant une grande légèreté. Cette bière dorée, au goût légèrement houblonné, a été la toute première à sortir des cuves de la Brasserie d’Achouffe, il y a 40 ans. Depuis lors, ses saveurs uniques, récompensées par plusieurs prix, ont conquis les amateurs du monde entier !","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",chouffe.webp,chouffe
Brasserie Dubuisson,Cuvée des Trolls,Blonde,Pale Ale,"7,00%",19,Belgique,"La Cuvée des Trolls est une bière belge brassée depuis l'an 2000 par la Brasserie Dubuisson qui produit aussi les caractérielles bières Bush.

Elle intègre évidemment tous les critères de qualité des bières de la brasserie Dubuisson, c'est-à-dire un brassage traditionnel, sans aucun additif avec un caractère indéniable. La Cuvée des Trolls est aromatisée avec des écorces d’oranges séchées. Celles-ci sont ajoutées au moût lors de l’ébullition. Elles donnent à cette bière des notes de fraîcheur et des arômes particulièrement agréables et fruités. Au palais, la Cuvée des Trolls présente une rondeur constituée à la fois de goûts et de saveurs assez relevés, mais particulièrement bien équilibrés. L’amertume, l’acidité et le sucré s’équilibrent parfaitement et donne ainsi une bière goûteuse et sans aspérités désagréables.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",cuvee-des-trolls.webp,cuvee-des-trolls
Brasserie Huyghe,Delirium Tremens,Blonde,Pale Ale,"8,50%",24,Belgique,"Le 26 décembre 1988, la célébrissime « Delirium Tremens » voit le jour. L'équipe produit cette bière blonde. L'authenticité de la delirium provient de ses 3 levures différentes ainsi que de son emballage très particulier et original faisant penser à la poterie de Cologne. L'étiquette dépeint les différentes phases du « delirium tremens ». L'éléphant rose est né. Elue meilleure bière du monde 1997 - 1998","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",delirium.webp,delirium
Brussels Beer Project,Juice Junkie,Blonde,New England IPA,"5,40%",30,Belgique,"Juice Junkie est une bombe tropicale, juteuse, avec des notes exotiques d'ananas et de mangue.

Cette India Pale Ale a été brassée dans le style New England IPA, une interprétation moins amère qu'une IPA avec une sensation douce et juteuse en bouche. L'utilisation de flocons d'avoine, d'une levure moins floculante et l'utilisation exclusive de houblons aromatiques changent complètement l'aspect et le goût de ces IP","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",delta-ipa.webp,delta-ipa
Brasserie Duvel-Moortgat,"Duvel 6,66",Blonde,Pale Ale,"6,66%",20,Belgique,"La brasserie Duvel n'est plus si jeune que ça ! Malgré ses allures, la brasserie fête ses 150 ans cette année. Pour marquer le coup, elle a décidé de sortir de ses cuves un brassin exclusif. Une bière qui illustre à merveille le savoir-faire développé par la brasserie au fil des années.
La Duvel 6.66 % fait un clin d'œil à l'histoire de la brasserie et en particulier à son nom. En effet, Duvel est la traduction flamande de Diable d'où le nom de cette bière.
La bière belge Duvel 6.66 %, comme son nom l'indique, titre à 6,66% ce qui la rend particulièrement facile à boire. Elle est le fruit d'un assemblage de trois variétés de malts différents ce qui lui confère un bel équilibre en bouche. S'inspirant des tendances brassicoles actuelles, la brasserie a fait le choix de faire intervenir six houblons différents dans sa recette via un dry hopping afin de conférer à la bière une aromatique unique et riche.
À la dégustation, la Duvel 6.66 % possède une belle robe blonde légèrement trouble surplombée d'un épais col de mousse blanc. Elle développe au nez des arômes de malt, de citron, de fruits et de houblon. Douce et rafraîchissante, la Duvel 6.66 % révèle des saveurs d'agrumes et de zeste d'orange.
Cédez à la tentation !","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",duvel-666.webp,duvel-666
Brasserie Duvel-Moortgat,Duvel Tripel Hop Cashmere,Blonde,Strong Ale,"9,50%",40,Belgique,"La brasserie a utilisé pour la première fois la variété unique de houblon Cashmere pour brasser Duvel Tripel Hop, un coup dans le mille. La bière spéciale en édition limitée s’est envolée et de nombreux amateurs de bière restent sur leur soif. Les brasseurs n’ont pu résister à la demande de brasser de nouveau cette bière et ont décidé de réutiliser le houblon limité en 2020. Vous pourrez de nouveau déguster la bière spéciale houblonnée à cru Duvel Tripel Hop Cashmere à partir du mois de mars. Cette bière, tout comme Duvel Tripel Hop Citra, sera disponible dans l’assortiment permanent sur le marché belge.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",duvel-tripel-hop-cashmere.webp,duvel-tripel-hop-cashmere
Brasserie Duvel-Moortgat,Duvel Tripel Hop Citra,Blonde,Strong Ale,"9,50%",44,Belgique,"Pour la Duvel Tripel Hop, nos brasseurs sélectionnent une 3ème variété de houblon, à côté de nos deux houblons permanents. Ils appliquent ensuite la technique du « Dry Hopping » (houblonnage à froid), au cours de laquelle les fleurs de houblon sont ajoutées. Cette phase ultérieure du brassage permet de retrouver davantage d’arômes de houblon dans le produit final. Le houblon supplémentaire que nos brasseurs ajoutent à l’ultime Tripel Hop est le Citra, une variété de houblon américain de la vallée Yakima près de Washington. Ce houblon est apprécié pour ses propriétés aromatiques et fruitées. Citra enrichit le goût typique de la Duvel avec des notes fraîches de pamplemousse et de fruits tropicaux.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",duvel-tripel-hop-citra.webp,duvel-tripel-hop-citra
Brasserie Duvel-Moortgat,Duvel,Blonde,Strong Ale,"8,50%",32,Belgique,"Duvel fait toujours office de référence parmi les bières blondes les plus fortes. Ce sont les sortes de houblon les plus nobles utilisées lors de la fabrication qui confèrent à la Duvel ce bouquet épicé qui monte au nez accompagné de sa note d’agrume tirant légèrement sur le pamplemousse. Cela se retrouve également dans son goût parfaitement équilibré avec une légère touche épicée. Grâce à sa teneur élevée en CO2, la bière dévoile une rondeur divine en bouche. Une Duvel se déguste aussi bien comme désaltérant que comme apéritif.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",duvel.webp,duvel
Brasserie du Borinage,L'Empire,Blonde,Imperial Lager,"10,00%",35,Belgique,"L’Empire est une Imperial Lager, une bière ""bushkante"" (sign. ""forte"") brassée en basse fermentation. C’est une blonde dense, voilée, aux couleurs de l’abricot. Le nez est chaleureux, puissant, marqué par notre houblon fétiche (Hallertau blanc) qui amène ici des notes de fruits jaunes. La bouche est ample, dense, mais la basse fermentation permet une grande buvabilité. Parole de Jean-Luc Delploumette","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",empire.webp,empire
Des Sources,Estaminet Triple,Blonde,Tripel,"7,00%",33,France,"La mousse épaisse et onctueuse dégage des senteurs fruitées et herbeuses. La première gorgée est fraîche, marquée par le côté fruité des baies de genévrier, sans tomber dans l'effet liquoreux. Une subtile amertume vient équilibrer la finale et renforcer le bouquet aromatiques. Une belle bière du Nord à déguster accompagnée de terrines de gibier.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",estaminet-triple.webp,estaminet-triple
Ribella,Immurtale,Blonde,Pilsner,"4,50%",12,France,"Les bières Pils ont beau venir de République Tchèque, cette interprétation corse savamment houblonnée et très réussie. C'est une bière résolument épicée, plein de céréales, avec une amertume légère mais houblonnée. L'Immurtale fait preuve de beaucoup d'équilibre et de délicatesse: elle est brassée avec de l'Hélichrysum, une plante voisine du curry, qui pousse dans le maquis corse et est surnommée ""fille du soleil"".","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",immurtale.webp,immurtale
Jolicoeur,Jolicoeur blonde,Blonde,Pale Ale,"5,00%",25,France,"Une bière fruitée et florale au nez qui donne envie d’aller plus loin et de découvrir ce qu’elle peut nous offrir en bouche. Aucune déception, puisqu’elle ouvre sur des saveurs très houblonnées et fruitées plus particulièrement sur le pamplemousse. Délicieuse et complètement atypique pour le genre, cette pépite mérite d’être découverte et dégustée.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",jolicoeur-blonde.webp,jolicoeur-blonde
La Cagole de Marseille,La Cagole,Blonde,Golden Ale,"5,50%",20,France,"Le malt est présent tout au long de la dégustation avec des arômes de pain grillé et très légèrement caramel au nez. En bouche il se traduit par des saveurs de boisé et céréales qui accompagne une amertume plutôt métallique mais si douce qu’elle en passerait presque inaperçu. Délicieusement fraîche et désaltérante cette blonde est le remède miracle à la chaleur de l’été marseillais. Cette Cagole Blonde sera délicieuse avec des grillades, une salade niçoise ou encore une fougasse.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",la-cagole.webp,la-cagole
Abbaye de Leffe,Leffe Bonde,Blonde,Pale Ale,"6,60%",25,Belgique,Leffe Blonde est une authentique bière blonde d'abbaye avec une légère pointe d'amertume. Leffe Blonde est la bière de dégustation par excellence: elle accompagnera avec légèreté vos repas et leur donnera une touche de saveur supplémentaire.,"crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",leffe-blonde.webp,leffe-blonde
Brasserie Lupulus,Lupulus Blonde Triple,Blonde,Triple,"8,50%",30,Belgique,"La Lupulus Blonde Triple est une bière belge riche et puissante dont la robe jaune dorée et voilée se voit coiffée d'une large mousse blanche crémeuse qui dévoile des arômes de malt, de houblon et d'agrumes.
En bouche, on y retrouve des saveurs d'épices, de thym, de malt et de houblon avec une amertume franche et du rafraîchissant. Elle est à déguster à une température de 8°C.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",lupulus-blonde.webp,lupulus-blonde
Brasserie Lupulus,Lupulus Organicus,Blonde,Abbey Triple,"8,50%",32,Belgique,"La Lupulus Organicus est une biere de type triple de couleur blonde trouble, l'Organicus est une bire bio, elle reste tout de méme dans l'esprit de sa soeur la Lupulus Triple Blonde, au nez elle est herbacés avec des notes levurés, en buche levure et fruits.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",lupulus-organicus.webp,lupulus-organicus
BRLO,Naked,Blonde,Pale Ale,"0,40%",40,Allemagne,"Une bière sans-alcool qui mise tout sur ses houblons ultra fruités: Lemondrop, Mandarina, Bavaria et Citra, on nage en pleine salade d'agrumes. Le nez, et dans une moindre mesure, la bouche, offrent des flaveurs de pain, de pêche, de pamplemousse, de résine et d'herbe fraîche. Légère, fruitée, avec une amertume finale très subtile.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",naked.webp,naked
BAPBAP,Odyssée,Blonde,Session IPA,"4,10%",52,France,"On perçoit tout de suite les arômes de houblons épicés (poivre blanc), mais aussi de malts plus céréaliers. En second nez, les fruits secs se font remarquer. C’est alors qu’une attaque céréalière et épicée démarre : le poivre et la coriandre rendent le palais piquant et épicé, tandis que les levures arrondissent l’ensemble. L'amertume porte les saveurs tout au long de la dégustation jusqu’à une finale assez longue et verte, tout en sècheresse.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",odyssee.webp,odyssee
Peak Beer,Peak 0.0,Blonde,Non-Alcoholic,"0,00%",28,Belgique,"Le goût de la Peak sans l’alcool ! 
Grâce à un processus de distillation sous vide préservant le goût de la bière, retrouvez les saveurs typiques de notre Peak Blonde avec des notes d’agrumes et de houblons.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",peak-0.webp,peak-0
Peak Beer,Peak Blonde,Blonde,Blonde Ale,"6,00%",28,Belgique,"Bière d'altitude, la Peak Blonde est notre valeur sûre. Rafraîchissante et très digeste grâce à son subtil houblonnage à cru, elle présente des notes agrumées - mandarine - et florales. C'est la partenaire idéale de vos apéros et même de vos soirées entières...","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",peak-blonde.webp,peak-blonde
Peak Beer,Peak Triple,Blonde,Brown & Dark Ale,"8,50%",38,Belgique,"Bière robuste d'altitude, la Peak Triple s'ouvre aux amateurs de bières intenses. La sélection de houblons et son Dry Hopping vous emmènent vers des pentes aux arômes de pêches blanches et fruits exotiques laissant à l'arrivée une longueur incroyable en bouche.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",peak-triple.webp,peak-triple
Bruggeman,Rendez-Vous,Blonde,Pale Ale,"5,20%",22,Belgique,"La meilleure bière, c’est la bière que tu partages. RDV, sigle pour Rendez-Vous, est une blonde unique et rafraîchissante avec une touche subtile de baie de genièvre. La complice parfaite pour tous les moments entre amis. Parce que RDV relie les gens entre eux. En vrai. Avec RDV nous levons notre verre aux amitiés nouvelles et anciennes. A hier, aujourd’hui et demain. A ensemble. Let’s Rendez-Vous!","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",rendez-vous.webp,rendez-vous
Belafonte,Roll with it,Blonde,American Pale Ale,"5,20%",35,France,"Légère et fraîche sans chichi, c’est bon et ça fait du bien ! Elle titre gentiment dans les 5% pour ne pas finir trop confus et garder les idées claires. Des notes de pins et d’agrumes : pas de doute, cette American Pale Ale est délibérément West Coast. Sa jolie robe orange clair rappelle les couchés de soleil dans l’océan pacifique.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",roll-with-it.webp,roll-with-it
Brasserie Saint-Feuillien,Saint-Feuillien Blonde,Blonde,Pale Ale,"7,50%",26,Belgique,"La robe est dorée et profonde. La mousse est fine et aérienne. Le bouquet est très parfumé; on y distingue nettement l’influence des houblons aromatiques, ainsi que l’apport d’une note fruitée (agrumes), conférée par l’usage d’épices. Le corps est marqué par une amertume intense mais distinctive et par une dominante maltée s’exprimant par sa plénitude en bouche. Le fini est cependant sec et houblonné. L’ensemble de ces caractéristiques en font une excellente bière digestive.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",st-feuillien-blonde.webp,st-feuillien-blonde
Brasserie Saint-Feuillien,Saint-Feuillien Five,Blonde,Pale Ale,"5,00%",22,Belgique,"La St-Feuillien Five a une couleur blonde pâle ; elle est limpide et brillante. La pétillance est élevée avec des bulles fines. La mousse est blanche, fine et stable. L’odeur est fraîche, houblonnée et bien présente avec des notes délicates fruitées (esters de fermentation) relevées encore par des nuances de zestes d’agrumes (curaçao). En première attaque, le goût est doux et légèrement malté. Ensuite, l’amertume s’installe doucement mais ne devient jamais imposante. L’ensemble reste équilibré et sans lourdeur. Le goût est rond et ample. La post-amertume est fine et longue. La St-Feuillien FIVE est une bière blonde légère et rafraîchissante. Particulièrement désaltérante, elle charme naturellement par son côté léger et digeste.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",st-feuillien-five.webp,st-feuillien-five
Brasserie Saint-Feuillien,Saint-Feuillien Triple,Blonde,Triple Ale,"8,50%",30,Belgique,"La mousse est blanche, fine et très compacte. La robe est particulière : couleur ambre pâle, elle révèle un caractère spécialement malté. Le nez est richement parfumé, offrant une combinaison unique de houblons aromatiques, d’épices et de senteurs typiques de la fermentation, très fruitées. La refermentation en bouteille lui confère une odeur unique due à la levure. Son goût est puissant, sa tenue en bouche exceptionnelle. Elle est due autant à sa densité qu’à la garde prolongée. Apéritive et rafraîchissante en été, savoureuse en hiver, elle s’affirme comme bière de dégustation par excellence.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",st-feuillien-triple.webp,st-feuillien-triple
Une Petite Mousse x Vivat,Tartelette du Nord,Blonde,IPA,"6,50%",50,France,"Une IPA au nez houblonné mais aussi sur les notes sucrées et acidulées des agrumes. On perçoit bien le citron, les fruits tropicaux et les levures. En bouche, l’attaque se fait houblonnée mais enrobée dans un voile de fruits acidulés. Les houblons paraissent bien moins amers grâce aux notes de citron, d’ananas et de litchi. Mais la sécheresse en bouche se rappelle à nous et poursuit la dégustation sur une finale tout en douceur sucrée et houblonnée.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",tartelette-nord.webp,tartelette-nord
Gueuzerie Tilquin,Gueuze Tilquin à l'ancienne,Blonde,Lambic,"7,00%",10,Belgique,"La Gueuze Tilquin à l’ancienne est une bière de fermentation spontanée issue de l’assemblage de lambics de 1, 2 et 3 ans. Non filtrée et non pasteurisée, elle est refermentée en bouteille pour une durée de 6 mois minimum. Les lambics utilisés ont fermenté et mûri en fûts de chêne dans nos installations. Ils sont issus de moûts brassés par les brasseries Boon, Lindemans, Girardin et Cantillon.

Son goût est suret et sec mais présente une certaine rondeur qui rend cette Gueuze à l’ancienne particulièrement accessible pour les non-connaisseurs. Elle réjouira également les amateurs du genre par sa douce complexité. Elle présente également une légère amertume sèche en raison de la jeunesse des fûts de chêne employés, ceux-ci libérant encore quelques tanins. Elle a un nez citronné et frais.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",tilquin-gueuze.webp,tilquin-gueuze
Brasserie Bosteels,Tripel Karmeliet,Blonde,Triple,"8,40%",30,Belgique,"La bière Tripel Karmeliet est l'un des grands classiques des bières belges. Selon la brasserie Bosteels, la recette utilisée serait la même depuis 1679. A l'époque, la Karmeliet était alors produite au sein de l'abbaye carmélite de Dendermonde. Bière de fermentation haute et refermentée en bouteille, elle présentait déjà à l'époque la particularité d'être produite à partir de trois céréales : l'orge, le froment et l'avoine. C'est d'ailleurs de ces ingrédients qu'elle tire son nom.

A la dégustation, cette bière belge présente une robe blonde dorée et une mousse crémeuse. Le nez s'avère à la fois raffiné et complexe. On retrouve ainsi les notes d'épices et de banane propres à la levure utilisée mêlées aux arômes agrumes du houblon Styrians. En bouche, ce sont les différentes céréales qui s'expriment en premier, associées ensuite aux touches houblonnées du Styrian. La texture, à la fois sèche et crémeuse rend la Tripel Karmeliet délicieusement équilibrée.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",tripel-karmeliet.webp,tripel-karmeliet
Brasserie Duvel-Moortgat,Vedett Extra Pilsner,Blonde,Premium Lager,"5,20%",28,Belgique,"Il s'agit d'une bière style pils, titrant à 5,2% vol alc, de couleur blonde pâle. Un arôme malté, elle se boit aisément grâce à la légèreté de sa saveur. De basse fermentation, elle appartient à la famille des pils. Au goût, une touche douce, fruitée, houblonnée sur le fond. Une saveur typique de houblon Saaz et de levure de basse fermentation.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",vedett-extra-pilsner.webp,vedett-extra-pilsner
AB InBev,Victoria,Blonde,Strong Ale,"8,50%",33,Belgique,"La Victoria a été brassée afin de mettre à l'honneur l'archange Saint Michel, le Saint patron de la ville de Bruxelles. En effet, selon la légende, Saint Michel affronta en 1695 le Diable au cœur de la ville de Bruxelles et le terrassa. Une véritable prouesse qui fit sa renommée. Si un jour vous avez l'opportunité de vous rendre à Bruxelles. Prenez un instant pour admirer l'hôtel de ville et plus particulièrement le sommet de sa flèche où figure une statue de l'archange Saint Michel terrassant le diable.

La Victoria est une bière de type Strong Ale titrant à 8,5%. Cette bière est brassée avec trois houblons différents ce qui lui donne une belle complexité aromatique. Elle dévoile des arômes fruités, épicés, maltés et herbacés.

Un délice qui a des allures de victoire !","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",victoria.webp,victoria
Vivat,Vivat Triple,Blonde,Tripel,"8,30%",32,France,"La Vivat Triple est une bière de garde emblématique du Nord. C'est une bière sucrée, longue en bouche, avec des notes d’agrumes acidulés qui se démarquent. La dégustation reste pourtant évidemment très, très céréalière comme on l'attend d'une Tripel. Les agrumes reviennent en fin de dégustation, après que l'on ai goûté à des notes gourmandes de brioche et de pain. La finale est longue et ronde.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",vivat-triple.webp,vivat-triple
Vivat,Vivat Blonde Bio,Blonde,Pale Ale,"6,00%",22,France,"Des arômes agréables de céréales et malts d’orge accueillent le nez. C’est assez végétal et des notes légèrement fruitées sont présentes. En bouche, c’est léger, frais et doux à la fois, le corps est léger. Une très légère amertume suivies de touches fruitées fugaces apparaissent en deuxième bouche et accompagnent une finale plutôt courte. Bière BIO intéressante ! Le mot ""Vivat"" était prononcé lors des mariages flamands en signe de bon augure, au moment où quelques gouttes de bières étaient versées sur le front de la jeune mariée.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",viviat-blonde-bio.webp,viviat-blonde-bio
Vivat,Vivat Blonde,Blonde,Bière de garde,"6,50%",24,France,"De belles notes florales s’échappent du joli dôme de mousse de cette bière. C’est agréable et assez vif au nez. En bouche, c’est frais avec des saveurs d’agrumes et un côté herbeux bien net. De belles touches céréalières sont également présentes. Une dégustation pleine de fraicheur, de fruité … bref très agréable ! Médaille d’argent 2011 au Concours Général Agricole. Le mot ""Vivat"" était prononcé lors des mariages flamands en signe de bon augure, au moment où quelques gouttes de bières étaient versées sur le front de la jeune mariée.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",viviat-blonde.webp,viviat-blonde
Abbaye de Westmalle,Westmalle Triple,Blonde,Triple,"9,50%",36,Belgique,"La Westmalle Tripel est une bière trappiste à la robe d'un blond doré et limpide, qui surprend par l'arôme fruité de bananes mûres et un nez houblonné subtil. Cette bière ample présente de la finesse et de l'élégance, une saveur douce et onctueuse, avec des touches d'amertume soutenues par un arôme fruité. La fin de bouche est délicieusement longue et sèche. La Westmalle Tripel doit son caractère complexe au processus de brassage lent et à la refermentation en bouteille.

La Westmalle Tripel se sert généralement en bouteilles de 33 cl, exactement la contenance du verre correspondant. La Westmalle Tripel se trouve également en bouteilles de 75 cl. Dans les bouteilles plus grandes, la bière refermente différemment : l'arôme fruité est un peu plus doux et plus mûr, et la bière développe une légère touche de vanille.","crudité, salade, légume, poisson, poulet, veau, plat épicé, fast-food, charcuterie, fromage frais, fromage à pâte molle, fromage à pâte dure, fruit, dessert",westmalle-triple.webp,westmalle-triple
Brussels Beer Project,Babylone,Brune,Bread Bitter,"7,00%",55,Belgique,"Avec Babylone, c'est ""Retour vers le futur"" ! Il y a 7000 ans, à Babylone, les gens buvaient un breuvage fermenté. Quelques milliers d'années plus tard, à Bruxelles, nous avons décidé de nous lancer dans ce projet d'économie circulaire, en utilisant du pain frais invendu dans la recette.

Le remplacement de 20% du malt par du pain frais invendu donne à la bière une agréable touche de caramel / grillé. Solidement houblonnée à cru avec du Chinook, elle est bien amère, pas pour les petits-joueurs!

On entend souvent dire qu'une bière, c'est comme 2 tranches de pain - eh bien, avec la Babylone, c'est vraiment vrai !","barbecue, poisson, viande, volaille, porc, gibier, plat mijoté, pizza, charcuterie, fromage persillé, passion, chocolat, tiramisu, caramel",babylone.webp,babylone
Abbaye de Scourmont - Chimay,Chimay Bleue,Brune,Strong Ale,"9,00%",19,Belgique,"La belle robe sombre et chaude et la mousse brun clair compacte de la Chimay Bleue offrent un magnifique spectacle. Cette bière est incontestablement le fruit du mariage divin entre des arômes fruités exubérants et un délicieux chocolat. L'attaque est légèrement sucrée, avant que le caramel crémeux se transforme en un doux moka associé à un vif caractère épicé et, enfin, de développer une délicieuse finale de fruits confits. L'ensemble extrêmement savoureux évolue vers une longue fin de bouche agréable, suscitant sur un sentiment légèrement réconfortant et une sensation de chocolat pur.","barbecue, poisson, viande, volaille, porc, gibier, plat mijoté, pizza, charcuterie, fromage persillé, passion, chocolat, tiramisu, caramel",chimay-bleue.webp,chimay-bleue
Het Anker,Gouden Carolus Whisky Infused,Brune,Strong Ale,"11,70%",15,Belgique,"La Gouden Carolus Imperial Dark a été enrichie par une infusion du whisky Gouden Carolus Single Malt. Avec pour résultat une bière unique : puissante et riche en goût, avec de subtiles touches de vanille, de bois de chêne et de chocolat. Un brassin impérial pour se faire plaisir.","barbecue, poisson, viande, volaille, porc, gibier, plat mijoté, pizza, charcuterie, fromage persillé, passion, chocolat, tiramisu, caramel",gouden-carolus.webp,gouden-carolus
